kunden_nr;anrede;vorname;nachname;strasse;plz;ort;telefon;email;angelegt_am
1;Herr;Thomas;Berger;Hauptstr. 12;35500;Juckstadt;06450-1234;berger@email.de;2021-05-12
2;Frau;Marion;Hoffmann;Kirchgasse 4;35500;Juckstadt;06450-2233;hoffmann@email.de;2024-11-29
3;Herr;Klaus;Weber;Am Markt 3;35500;Juckstadt;06450-9012;;2024-09-29
4;Herr;Thomas;Neumann;Feldweg 22;35501;Oberstadt;06451-5588;neumann@email.de;2023-04-08
5;Herr;Markus;Lehmann;Schulstr. 21;35501;Oberstadt;06451-7890;;2022-03-29
6;Herr;Paul;Mueller;Beethovenstr. 95;35500;Juckstadt;06450-475147;mueller.p@t-online.de;2019-07-30
7;Herr;Karl;Kaiser;Schlossstr. 92;35501;Oberstadt;06450-6504;kaiser.k@email.de;2024-10-16
8;Herr;Wolfgang;Kaiser;Schillerstr. 75;35500;Juckstadt;06450-1856;kaiser.w@t-online.de;2019-11-19
9;Frau;Stefanie;Schneider;Parkstr. 40;35500;Juckstadt;06450-87380;schneider.s@t-online.de;2021-01-06
10;Frau;Yvonne;Becker;Marktplatz 75;35500;Juckstadt;06450-503057;becker.y@t-online.de;2024-12-10
11;Frau;Verena;Peters;Buchenweg 15;35500;Juckstadt;06450-118859;peters.v@t-online.de;2023-02-10
12;Herr;Martin;Schwarz;Rosenweg 44;35501;Oberstadt;06450-4355;schwarz.m@web.de;2021-08-18
13;Herr;Xaver;Hartmann;Goethestr. 71;35500;Juckstadt;06450-7321;hartmann.x@email.de;2020-02-20
14;Frau;Rita;Weber;Kapellenweg 81;35500;Juckstadt;06450-425101;weber.r@email.de;2021-09-14
15;Herr;Georg;Walter;Goethestr. 9;35501;Oberstadt;06450-65609;walter.g@email.de;2022-08-02
16;Herr;Robert;Schroeder;Schlossstr. 27;35500;Juckstadt;06450-67490;schroeder.r@t-online.de;2021-03-04
17;Frau;Maria;Lange;Tulpenstr. 90;35500;Juckstadt;06450-42477;lange.m@gmx.de;2021-08-03
18;Herr;Martin;Klein;Mondbach 6;35500;Juckstadt;06450-54770;klein.m@email.de;2022-01-15
19;Frau;Quirina;Klein;Schulstr. 95;35501;Oberstadt;06450-671441;klein.q@email.de;2024-02-04
20;Frau;Bettina;Fischer;Auweg 36;35501;Oberstadt;06450-89228;fischer.b@gmx.de;2024-04-10
21;Frau;Claudia;Klein;Beethovenstr. 96;35501;Oberstadt;06450-88885;klein.c@web.de;2023-03-26
22;Herr;Zacharias;Werner;Auweg 54;35500;Juckstadt;06450-6541;werner.z@t-online.de;2021-09-30
23;Frau;Bettina;Becker;Schulstr. 9;35501;Oberstadt;06450-542406;becker.b@web.de;2023-08-18
24;Frau;Zoey;Klein;Marktplatz 79;35501;Oberstadt;06450-4587;klein.z@t-online.de;2019-03-25
25;Herr;Tobias;Koch;Rosenweg 9;35501;Oberstadt;06450-85693;koch.t@web.de;2019-10-16
26;Herr;Christian;Fischer;Hauptstr. 81;35500;Juckstadt;06450-05483;fischer.c@web.de;2022-12-29
27;Herr;Karl;Schroeder;Buchenweg 8;35501;Oberstadt;06450-8503;;2024-03-27
28;Frau;Xenia;Schulze;Sonnenwall 37;35500;Juckstadt;06450-2552;;2021-07-27
29;Herr;Martin;Stein;Buchenweg 48;35500;Juckstadt;06450-953042;stein.m@email.de;2025-04-08
30;Herr;Paul;Wolf;Mozartstr. 53;35500;Juckstadt;06450-99573;wolf.p@web.de;2022-07-24
31;Frau;Ines;Schmitt;Wiesenweg 30;35501;Oberstadt;06450-4588;schmitt.i@web.de;2023-02-03
32;Frau;Olivia;Kaiser;Buchenweg 26;35501;Oberstadt;06450-8236;kaiser.o@web.de;2021-07-12
33;Herr;Quirin;Klein;Schlossstr. 44;35500;Juckstadt;06450-19329;klein.q@gmx.de;2022-12-16
34;Herr;Manuel;Hartmann;Mozartstr. 98;35501;Oberstadt;06450-64002;hartmann.m@web.de;2019-10-27
35;Herr;Christian;Schmitt;Schulstr. 77;35500;Juckstadt;06450-8633;schmitt.c@t-online.de;2024-07-03
36;Herr;Leon;Mueller;Parkstr. 50;35500;Juckstadt;06450-351659;mueller.l@email.de;2024-02-29
37;Frau;Anna;Schwarz;Brunnenstr. 81;35500;Juckstadt;06450-482413;;2022-10-14
38;Herr;Jens;Vogel;Marktplatz 87;35500;Juckstadt;06450-11933;vogel.j@t-online.de;2025-03-28
39;Frau;Nora;Weber;Mozartstr. 93;35500;Juckstadt;06450-54114;weber.n@gmx.de;2024-05-17
40;Herr;Xaver;Albrecht;Kapellenweg 24;35500;Juckstadt;06450-1918;albrecht.x@t-online.de;2022-10-29
41;Herr;Lukas;Zimmermann;Marktplatz 44;35500;Juckstadt;06450-568082;zimmermann.l@email.de;2023-06-09
42;Herr;Leon;Braun;Sonnenwall 37;35500;Juckstadt;06450-988768;braun.l@email.de;2020-07-11
43;Frau;Katrin;Werner;Bahnhofstr. 55;35501;Oberstadt;06450-4915;werner.k@gmx.de;2021-05-24
44;Herr;Leon;Lange;Parkstr. 68;35500;Juckstadt;06450-382553;lange.l@web.de;2023-12-24
45;Herr;Igor;Mueller;Parkstr. 49;35500;Juckstadt;06450-264569;mueller.i@web.de;2025-02-19
46;Herr;Lukas;Lange;Gartenstr. 43;35501;Oberstadt;06450-85305;lange.l@gmx.de;2019-05-10
47;Frau;Lisa;Zimmermann;Auweg 61;35500;Juckstadt;06450-13267;zimmermann.l@t-online.de;2021-11-29
48;Frau;Lisa;Vogel;Beethovenstr. 74;35500;Juckstadt;06450-6820;vogel.l@t-online.de;2023-06-17
49;Frau;Gisela;Stein;Gartenstr. 18;35500;Juckstadt;06450-1894;stein.g@t-online.de;2024-08-27
50;Frau;Quirina;Fischer;Mondbach 21;35501;Oberstadt;06450-65029;fischer.q@web.de;2024-05-30
51;Frau;Claudia;Wagner;Talstr. 89;35500;Juckstadt;06450-440742;wagner.c@t-online.de;2025-04-18
52;Herr;Erik;Schneider;Feldweg 57;35500;Juckstadt;06450-1508;schneider.e@gmx.de;2019-03-28
53;Frau;Olivia;Schaefer;Sonnenwall 17;35500;Juckstadt;06450-76508;schaefer.o@t-online.de;2021-10-13
54;Frau;Xenia;Hoffmann;Auweg 98;35500;Juckstadt;06450-797057;hoffmann.x@t-online.de;2019-02-06
55;Herr;Daniel;Stein;Wiesenweg 24;35501;Oberstadt;06450-37134;stein.d@web.de;2022-06-30
56;Herr;Robert;Mueller;Hauptstr. 32;35500;Juckstadt;06450-990396;mueller.r@web.de;2022-12-14
57;Frau;Bettina;Walter;Schillerstr. 60;35500;Juckstadt;06450-5318;walter.b@t-online.de;2025-02-27
58;Frau;Carolin;Krueger;Pfarrgasse 5;35500;Juckstadt;06450-15255;krueger.c@t-online.de;2021-06-24
59;Frau;Hannah;Vogel;Kapellenweg 60;35501;Oberstadt;06450-1340;vogel.h@t-online.de;2024-02-07
60;Herr;Paul;Schulze;Parkstr. 56;35501;Oberstadt;06450-730679;schulze.p@gmx.de;2023-05-31
61;Frau;Tanja;Weber;Beethovenstr. 81;35500;Juckstadt;06450-636369;weber.t@gmx.de;2022-01-21
62;Frau;Maria;Roth;Beethovenstr. 67;35500;Juckstadt;06450-851274;roth.m@gmx.de;2023-04-20
63;Herr;Igor;Stein;Ahornweg 73;35501;Oberstadt;06450-520858;stein.i@gmx.de;2022-04-26
64;Herr;Xaver;Vogel;Schlossstr. 29;35501;Oberstadt;06450-8910;vogel.x@email.de;2024-10-05
65;Frau;Verena;Schmitt;Wiesenweg 43;35501;Oberstadt;06450-514849;schmitt.v@gmx.de;2020-07-04
66;Frau;Yvonne;Schroeder;Dorfstr. 24;35500;Juckstadt;06450-06657;schroeder.y@web.de;2022-03-22
67;Herr;Leon;Lehmann;Mozartstr. 48;35500;Juckstadt;06450-10921;lehmann.l@email.de;2021-02-02
68;Herr;Quirin;Schaefer;Kapellenweg 69;35500;Juckstadt;06450-1191;schaefer.q@t-online.de;2023-12-30
69;Herr;Paul;Bauer;Mozartstr. 2;35501;Oberstadt;06450-6822;bauer.p@email.de;2024-05-16
70;Frau;Ines;Walter;Hauptstr. 87;35501;Oberstadt;06450-8110;walter.i@email.de;2019-04-12
71;Frau;Ines;Schwarz;Kirchstr. 86;35501;Oberstadt;06450-804700;schwarz.i@gmx.de;2024-09-23
72;Frau;Anna;Becker;Ahornweg 30;35501;Oberstadt;06450-074256;becker.a@web.de;2024-04-13
