nachname|vorname|anrede|plz|ort|strasse|tel|email|erfasst
Berger|Th.|Hr.|35500|Juckstadt|Hauptstr. 12|0645 01234|berger@email.de|06.12.2020
Hoffmann|Marion|Fr.|35500|Juckstadt|Kirchgasse 4|0645 02233|hoffmann@email.de|02.03.2024
Klaus|Weber|Hr.|35500|Juckstadt|Am Markt 3|0645 09012|weber@email.de|06.02.2024
Vogel|Petra|Fr.|35466|Rabenau|Eichenallee 8|0640 7779912|vogel@email.de|25.04.2025
Lehmann|M.|Hr.|35501|Oberstadt|Schulstr. 21|0645 17890|lehmann@email.de|24.08.2023
Schneider|Elke|Fr.|35580|Wetzlar-Buederbach|Pfarrgasse 52|0645 054192|schneider.e@email.de|03.10.2023
Lehmann|Georg|Hr.|35580|Wetzlar-Buederbach|Wiesenweg 76|0645 05073|lehmann.g@email.de|30.06.2023
Krueger|Oliver|Hr.|35579|Wetzlar-Niedergirmes|Dorfstr. 62|0645 086753|krueger.o@gmx.de|07.06.2024
Richter|Wiebke|Fr.|35580|Wetzlar-Buederbach|Bahnhofstr. 16|0645 02089|richter.w@web.de|21.01.2025
Schaefer|Diana|Fr.|35578|Wetzlar|Goethestr. 97|0645 0413113|schaefer.d@t-online.de|09.07.2024
Roth|Yvonne|Fr.|35579|Wetzlar-Niedergirmes|Gartenstr. 14|0645 06908|roth.y@t-online.de|26.07.2019
Klein|Gisela|Fr.|35580|Wetzlar-Buederbach|Rosenweg 97|0645 02272|klein.g@t-online.de|13.07.2023
Lange|Nora|Fr.|35579|Wetzlar-Niedergirmes|Tulpenstr. 71|0645 01472||16.02.2023
Vogel|Niklas|Hr.|35579|Wetzlar-Niedergirmes|Hauptstr. 44|0645 09984|vogel.n@email.de|20.11.2021
Stein|Erik|Hr.|35580|Wetzlar-Buederbach|Bahnhofstr. 31|0645 08389|stein.e@email.de|26.08.2020
Schmitt|Robert|Hr.|35580|Wetzlar-Buederbach|Kapellenweg 36|0645 070081|schmitt.r@web.de|02.03.2025
Bauer|Elke|Fr.|35580|Wetzlar-Buederbach|Dorfstr. 67|0645 07049|bauer.e@t-online.de|20.08.2021
Neumann|Katrin|Fr.|35578|Wetzlar|Schillerstr. 47|0645 01863|neumann.k@email.de|25.07.2020
Schroeder|Manuel|Hr.|35579|Wetzlar-Niedergirmes|Tulpenstr. 26|0645 02361|schroeder.m@t-online.de|16.12.2022
Zimmermann|Sabine|Fr.|35580|Wetzlar-Buederbach|Gartenstr. 8|0645 094430|zimmermann.s@t-online.de|24.12.2023
Schmid|Sabine|Fr.|35579|Wetzlar-Niedergirmes|Schlossstr. 56|0645 013763|schmid.s@email.de|06.03.2019
Frank|Paul|Hr.|35580|Wetzlar-Buederbach|Mozartstr. 25|0645 0604350|frank.p@web.de|24.03.2019
Lange|Yvonne|Fr.|35578|Wetzlar|Pfarrgasse 95|0645 04776|lange.y@t-online.de|15.02.2024
Schmid|Verena|Fr.|35578|Wetzlar|Kirchstr. 28|0645 086120|schmid.v@gmx.de|21.12.2023
Neumann|Xenia|Fr.|35579|Wetzlar-Niedergirmes|Pfarrgasse 10|0645 060825|neumann.x@t-online.de|14.05.2023
Weber|Gisela|Fr.|35578|Wetzlar|Kirchstr. 18|0645 094598|weber.g@email.de|01.10.2024
Krueger|Ute|Fr.|35579|Wetzlar-Niedergirmes|Sonnenwall 2|0645 0329051||16.07.2021
Peters|Xaver|Hr.|35580|Wetzlar-Buederbach|Bergstr. 33|0645 06810|peters.x@email.de|07.04.2025
Weber|Christian|Hr.|35579|Wetzlar-Niedergirmes|Schlossstr. 27|0645 0832421|weber.c@web.de|06.08.2022
Wagner|Ines|Fr.|35578|Wetzlar|Brunnenstr. 84|0645 06352|wagner.i@email.de|18.02.2021
Lange|Yvonne|Fr.|35578|Wetzlar|Buchenweg 48|0645 027098|lange.y@email.de|10.04.2025
Hofmann|Tobias|Hr.|35580|Wetzlar-Buederbach|Hauptstr. 42|0645 00991|hofmann.t@gmx.de|22.08.2024
Klein|Andreas|Hr.|35578|Wetzlar|Auweg 45|0645 0266661|klein.a@web.de|25.07.2019
Wagner|Stefan|Hr.|35579|Wetzlar-Niedergirmes|Dorfstr. 71|0645 02718|wagner.s@gmx.de|18.11.2021
Krueger|Xaver|Hr.|35578|Wetzlar|Mondbach 9|0645 026156|krueger.x@t-online.de|10.08.2019
Vogel|Quirin|Hr.|35578|Wetzlar|Goethestr. 12|0645 0002639|vogel.q@web.de|06.06.2022
Neumann|Elke|Fr.|35580|Wetzlar-Buederbach|Ahornweg 81|0645 06520|neumann.e@gmx.de|01.07.2019
Weber|Yvonne|Fr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 60|0645 0729621|weber.y@web.de|06.02.2021
Schaefer|Bernd|Hr.|35579|Wetzlar-Niedergirmes|Wiesenweg 67|0645 01411|schaefer.b@gmx.de|01.09.2022
Schaefer|Zoey|Fr.|35579|Wetzlar-Niedergirmes|Ahornweg 95|0645 0047755|schaefer.z@t-online.de|29.07.2020
Schulze|Olivia|Fr.|35579|Wetzlar-Niedergirmes|Kapellenweg 41|0645 0695308|schulze.o@web.de|16.05.2024
Schulze|Zoey|Fr.|35578|Wetzlar|Auweg 12|0645 013069|schulze.z@gmx.de|07.06.2021
Bauer|Zoey|Fr.|35578|Wetzlar|Ahornweg 30|0645 074131|bauer.z@t-online.de|26.01.2022
Krause|Ulrich|Hr.|35578|Wetzlar|Brunnenstr. 60|0645 09220|krause.u@t-online.de|13.10.2019
Zimmermann|Carolin|Fr.|35578|Wetzlar|Kapellenweg 53|0645 03371|zimmermann.c@t-online.de|13.08.2019
Peters|Olivia|Fr.|35578|Wetzlar|Schulstr. 7|0645 085452|peters.o@email.de|07.05.2020
Schneider|Hannah|Fr.|35580|Wetzlar-Buederbach|Pfarrgasse 58|0645 0333477||14.06.2021
Peters|Niklas|Hr.|35580|Wetzlar-Buederbach|Sonnenwall 90|0645 0712041|peters.n@gmx.de|05.11.2022
Becker|Andreas|Hr.|35578|Wetzlar|Wiesenweg 5|0645 0938852|becker.a@t-online.de|25.12.2024
Becker|Olivia|Fr.|35578|Wetzlar|Eichenweg 82|0645 04876|becker.o@email.de|18.11.2020
Krueger|Sabine|Fr.|35580|Wetzlar-Buederbach|Kapellenweg 72|0645 0156655|krueger.s@web.de|02.12.2020
Peters|Christian|Hr.|35580|Wetzlar-Buederbach|Ahornweg 3|0645 0195912|peters.c@web.de|18.11.2022
Fischer|Niklas|Hr.|35579|Wetzlar-Niedergirmes|Hauptstr. 89|0645 023015||06.07.2019
Bauer|Katrin|Fr.|35580|Wetzlar-Buederbach|Schulstr. 49|0645 06232|bauer.k@email.de|06.07.2021
